Service Request ID,Customer Name,Customer Address,Latitude,Longitude,Appliance Type,Problem Description,Severity/Priority,Scheduled Date/Time,Status,Contact Number
SR001,Katende,"Plot 45, Ntinda Rd, Kampala",0.340578,32.598642,Refrigerator,Not cooling at all,High,6/6/25 9:00,Pending,+256 772101001
SR002,Nanyonga,"House 12, Kisaasi Rd, Kampala",0.370591,32.612711,Washing Machine,Leaking water,Medium,6/6/25 9:30,Pending,+256 782202002
SR003,Ssekandi,"Apt 7, Acacia Ave, Kololo",0.327599,32.583091,Oven,Doesn't heat up,High,6/6/25 10:00,Pending,+256 701303003
SR004,Nakato,"Plot 88, Buziga Hill, Kampala",0.260592,32.583087,Dishwasher,Not draining,Medium,6/6/25 10:30,Pending,+256 773404004
SR005,Byaruhanga,"Buyege Rd, Lubaga, Kampala",0.302325,32.554316,Microwave,No power,Low,6/6/25 11:00,Pending,+256 752505005
SR006,Mukasa,"Flat 3, Naguru Dr, Kampala",0.340591,32.612711,Refrigerator,Makes loud noise,Medium,6/6/25 11:30,Pending,+256 774606006
SR007,Tumusiime,"Plot 22, Makerere Hill Rd",0.328333,32.569444,Washing Machine,Clothes not clean,Low,6/6/25 12:00,Pending,+256 783707007
SR008,Lwanga,"Namuwongo Rd, Kampala",0.285888,32.607421,Oven,Door won't close,High,6/6/25 13:00,Pending,+256 702808008
SR009,Kasozi,"Church Rd, Old Kampala",0.315,32.57,Dishwasher,Doesn't dry dishes,Medium,6/6/25 13:30,Pending,+256 775909009
SR010,Babirye,"Entebbe Rd, Zana, Kampala",0.231269,32.553957,Refrigerator,Ice maker broken,Low,6/6/25 14:00,Pending,+256 753010101
SR011,Sentamu,"Bukoto Street, Kampala",0.34359,32.589886,Washing Machine,Spin cycle not working,High,6/7/25 9:00,Pending,+256 772111111
SR012,Kirabo,"Kireka Rd, Kampala",0.334057,32.651475,Oven,Gas smell,High,6/7/25 9:30,Pending,+256 782222222
SR013,Okello,"Wandegeya Rd, Kampala",0.327599,32.583091,Microwave,Interior light out,Low,6/7/25 10:00,Pending,+256 701333333
SR014,Nabbanja,"Kasubi Tombs Rd, Kampala",0.327599,32.583091,Refrigerator,Freezer too cold,Medium,6/7/25 10:30,Pending,+256 773444444
SR015,Musisi,"Gayaza Rd, Kampala",0.370591,32.612711,Washing Machine,No power,Medium,6/7/25 11:00,Pending,+256 752555555
SR016,Nandutu,"Gaba Rd, Kampala",0.231269,32.553957,Dishwasher,Dishes still dirty,High,6/7/25 11:30,Pending,+256 774666666
SR017,Kyambadde,"Kawempe, Kampala",0.340578,32.598642,Oven,Self-clean cycle stuck,Low,6/7/25 12:00,Pending,+256 783777777
SR018,Asiimwe,"Old Port Bell Rd, Kampala",0.285888,32.607421,Refrigerator,Water dispenser broken,Medium,6/7/25 13:00,Pending,+256 702888888
SR019,Birungi,"Kansanga, Kampala",0.285888,32.607421,Washing Machine,Excessive vibration,Medium,6/7/25 13:30,Pending,+256 775999999
SR020,Mugisha,"Bugolobi Flats, Kampala",0.327599,32.583091,Microwave,Door doesn't latch,Low,6/7/25 14:00,Pending,+256 753000000
SR021,Nantume,"Kiwatule Rd, Kampala",0.370591,32.612711,Refrigerator,Food freezing in fridge,High,6/8/25 9:00,Pending,+256 772123456
SR022,Kiggundu,"Namungoona, Kampala",0.327599,32.583091,Washing Machine,Error code F5,Medium,6/8/25 9:30,Pending,+256 782345678
SR023,Ajok,"Kamwokya, Kampala",0.327599,32.583091,Oven,Light bulb burned out,Low,6/8/25 10:00,Pending,+256 701456789
SR024,Mutebi,"Makindye, Kampala",0.298056,32.569444,Dishwasher,Not heating water,High,6/8/25 10:30,Pending,+256 773567890
SR025,Nakabugo,"Luzira, Kampala",0.285888,32.607421,Microwave,Buttons not responding,Medium,6/8/25 11:00,Pending,+256 752678901
SR026,Ssenyonga,"Kyanja, Kampala",0.370591,32.612711,Refrigerator,Water leaking from bottom,Medium,6/8/25 11:30,Pending,+256 774789012
SR027,Naggayi,"Gayaza Town, Kampala",0.370591,32.612711,Washing Machine,Noisy during spin,High,6/8/25 12:00,Pending,+256 783890123
SR028,Musoke,"Buloba, Kampala",0.302325,32.554316,Oven,Fan not working,Low,6/8/25 13:00,Pending,+256 702901234
